"DisplayName","Direction","Action","Enabled","Profile"
"Windows Media Player (TCP-Out)","Outbound","Allow","False","Any"
"Windows Media Player Network Sharing Service (qWave-UDP-In)","Inbound","Allow","False","Domain"
"Windows Media Player Network Sharing Service (TCP-Out)","Outbound","Allow","False","Domain"
"Media Center Extenders - qWave (TCP-In)","Inbound","Allow","False","Any"
"File and Printer Sharing (Spooler Service - RPC-EPMAP)","Inbound","Allow","False","Domain"
"File and Printer Sharing (Spooler Service - RPC)","Inbound","Allow","False","Domain"
"File and Printer Sharing (Restrictive) (Echo Request - ICMPv6-Out)","Outbound","Allow","False","Any"
"File and Printer Sharing (NB-Session-In)","Inbound","Allow","False","Domain"
"File and Printer Sharing (NB-Datagram-Out)","Outbound","Allow","False","Domain"
"File and Printer Sharing (Spooler Service - RPC)","Inbound","Allow","False","Private, Public"
"File and Printer Sharing (Echo Request - ICMPv4-Out)","Outbound","Allow","False","Private, Public"
"Inbound Rule for Remote Shutdown (TCP-In)","Inbound","Allow","False","Any"
"File and Printer Sharing (NB-Name-Out)","Outbound","Allow","False","Domain"
"File and Printer Sharing (SMB-Out)","Outbound","Allow","False","Private, Public"
"File and Printer Sharing (Echo Request - ICMPv4-Out)","Outbound","Allow","False","Domain"
"File and Printer Sharing (SMB-Out)","Outbound","Allow","False","Domain"
"File and Printer Sharing (Restrictive) (SMB-In)","Inbound","Allow","False","Any"
"File and Printer Sharing (Spooler Service Worker - RPC)","Inbound","Allow","False","Private, Public"
"File and Printer Sharing (NB-Datagram-In)","Inbound","Allow","False","Domain"
"File and Printer Sharing (NB-Name-In)","Inbound","Allow","False","Private, Public"
"WFD ASP Coordination Protocol (UDP-Out)","Outbound","Allow","True","Any"
"File and Printer Sharing (NB-Session-Out)","Outbound","Allow","False","Private, Public"
"File and Printer Sharing (Restrictive) (LLMNR-UDP-In)","Inbound","Allow","False","Any"
"File and Printer Sharing (Restrictive) (LLMNR-UDP-Out)","Outbound","Allow","False","Any"
"File and Printer Sharing (Spooler Service - RPC-EPMAP)","Inbound","Allow","False","Private, Public"
"File and Printer Sharing (Echo Request - ICMPv6-Out)","Outbound","Allow","False","Private, Public"
"File and Printer Sharing (NB-Name-In)","Inbound","Allow","False","Domain"
"File and Printer Sharing (Restrictive) (Spooler Service - RPC)","Inbound","Allow","False","Any"
"File and Printer Sharing (NB-Session-In)","Inbound","Allow","False","Private, Public"
"File and Printer Sharing (Echo Request - ICMPv4-In)","Inbound","Allow","False","Private, Public"
"File and Printer Sharing (Restrictive) (Spooler Service Worker - RPC)","Inbound","Allow","False","Any"
"File and Printer Sharing (SMB-In)","Inbound","Allow","False","Private, Public"
"File and Printer Sharing (Restrictive) (SMB-Out)","Outbound","Allow","False","Any"
"WFD Driver-only (TCP-In)","Inbound","Allow","True","Any"
"WFD Driver-only (UDP-In)","Inbound","Allow","True","Any"
